Serving HTTP on :: port 8000 (http://[::]:8000/) ...
::1 - - [29/Jun/2022 00:04:33] "GET / HTTP/1.1" 200 -
::1 - - [29/Jun/2022 00:04:33] "GET /javascript/navbarScroll.js HTTP/1.1" 200 -
::1 - - [29/Jun/2022 00:04:33] "GET /css/style.css HTTP/1.1" 200 -
::1 - - [29/Jun/2022 00:04:33] "GET /javascript/particle.js HTTP/1.1" 200 -
::1 - - [29/Jun/2022 00:04:33] "GET /javascript/signature.js HTTP/1.1" 304 -
::1 - - [29/Jun/2022 00:04:33] "GET /javascript/loadHome.js HTTP/1.1" 304 -
::1 - - [29/Jun/2022 00:04:33] "GET /assets/logo.png HTTP/1.1" 200 -
::1 - - [29/Jun/2022 00:04:33] "GET /assets/placeholder.png HTTP/1.1" 200 -
::1 - - [29/Jun/2022 00:04:33] "GET /assets/linkedin.png HTTP/1.1" 304 -
::1 - - [29/Jun/2022 00:04:33] "GET /assets/github.png HTTP/1.1" 304 -
::1 - - [29/Jun/2022 00:04:33] "GET /assets/mail.png HTTP/1.1" 304 -
::1 - - [29/Jun/2022 00:04:33] "GET /assets/instagram.png HTTP/1.1" 304 -
::1 - - [29/Jun/2022 00:04:33] "GET /assets/ENStroke.json HTTP/1.1" 200 -
::1 - - [29/Jun/2022 00:04:33] "GET /assets/background.png HTTP/1.1" 200 -
::1 - - [29/Jun/2022 00:04:33] "GET /assets/instagram-background.png HTTP/1.1" 200 -
::1 - - [29/Jun/2022 00:04:33] "GET /assets/mail-background.png HTTP/1.1" 304 -
::1 - - [29/Jun/2022 00:04:33] "GET /blogsmeta.json HTTP/1.1" 304 -
::1 - - [29/Jun/2022 00:04:33] "GET /blogs/images/20201227/gatlinburg.png HTTP/1.1" 200 -
::1 - - [29/Jun/2022 00:04:33] "GET /blogs/images/20211009/lakehouse.png HTTP/1.1" 200 -
::1 - - [29/Jun/2022 00:04:33] "GET /blogs/images/20211130/intramural.png HTTP/1.1" 200 -
::1 - - [29/Jun/2022 00:04:33] "GET /blogs/images/20210807/california.png HTTP/1.1" 200 -
::1 - - [29/Jun/2022 00:04:33] "GET /assets/logo.ico HTTP/1.1" 304 -
::1 - - [29/Jun/2022 00:04:37] "GET /portfolio.html HTTP/1.1" 200 -
::1 - - [29/Jun/2022 00:04:37] "GET /css/portfolio.css HTTP/1.1" 200 -
::1 - - [29/Jun/2022 00:04:37] "GET /assets/document.png HTTP/1.1" 200 -
::1 - - [29/Jun/2022 00:04:37] "GET /index.html HTTP/1.1" 200 -

Keyboard interrupt received, exiting.
